Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-02-27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-02-28,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-02-29,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-01,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-02,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-03,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-04,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,73.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
2020-03-05,0.0,0.0,0.0,0.0,30.0,0.0,0.0,3.0,98.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
2020-03-06,0.0,0.0,0.0,0.0,37.0,0.0,1.0,3.0,135.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
2020-03-07,0.0,0.0,0.0,0.0,48.0,0.0,1.0,4.0,154.0,6.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0
2020-03-08,0.0,0.0,0.0,0.0,56.0,1.0,3.0,6.0,267.0,7.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0
2020-03-09,0.0,0.0,0.0,0.0,70.0,1.0,5.0,7.0,333.0,10.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,1.0,0.0,0.0,20.0
2020-03-10,1.0,0.0,0.0,0.0,85.0,3.0,6.0,8.0,468.0,13.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,1.0,0.0,0.0,26.0
2020-03-11,1.0,0.0,0.0,1.0,113.0,6.0,6.0,8.0,617.0,18.0,0.0,0.0,0.0,21.0,5.0,0.0,0.0,1.0,0.0,1.0,29.0
2020-03-12,2.0,0.0,0.0,1.0,146.0,8.0,9.0,11.0,744.0,22.0,0.0,1.0,1.0,26.0,5.0,0.0,2.0,5.0,0.0,1.0,32.0
2020-03-13,2.0,0.0,0.0,2.0,201.0,10.0,11.0,17.0,890.0,27.0,0.0,2.0,2.0,46.0,5.0,0.0,2.0,5.0,1.0,1.0,42.0
2020-03-14,2.0,0.0,0.0,6.0,241.0,13.0,13.0,27.0,966.0,36.0,0.0,3.0,2.0,59.0,8.0,0.0,2.0,6.0,1.0,1.0,55.0
2020-03-15,3.0,0.0,1.0,9.0,284.0,14.0,16.0,33.0,1218.0,46.0,0.0,5.0,6.0,81.0,16.0,2.0,2.0,8.0,1.0,1.0,63.0
2020-03-16,4.0,0.0,1.0,9.0,346.0,22.0,19.0,50.0,1420.0,57.0,1.0,6.0,6.0,111.0,16.0,2.0,2.0,14.0,1.0,2.0,69.0
2020-03-17,6.0,0.0,1.0,9.0,393.0,30.0,23.0,60.0,1640.0,69.0,1.0,8.0,7.0,133.0,18.0,2.0,3.0,17.0,1.0,2.0,80.0
2020-03-18,7.0,0.0,1.0,9.0,458.0,31.0,32.0,73.0,1959.0,92.0,1.0,9.0,7.0,154.0,19.0,2.0,3.0,22.0,2.0,3.0,94.0
2020-03-19,11.0,0.0,3.0,17.0,531.0,36.0,38.0,91.0,2168.0,115.0,2.0,14.0,12.0,175.0,25.0,2.0,4.0,38.0,2.0,6.0,115.0
2020-03-20,17.0,0.0,4.0,17.0,640.0,38.0,43.0,119.0,2549.0,137.0,5.0,17.0,13.0,209.0,26.0,2.0,4.0,47.0,7.0,7.0,131.0
2020-03-21,22.0,0.0,5.0,22.0,715.0,42.0,50.0,152.0,3095.0,154.0,7.0,20.0,28.0,238.0,29.0,4.0,6.0,72.0,10.0,8.0,146.0
2020-03-22,33.0,0.0,8.0,29.0,816.0,47.0,53.0,171.0,3456.0,184.0,7.0,23.0,35.0,283.0,31.0,7.0,8.0,91.0,16.0,9.0,169.0
2020-03-23,38.0,1.0,7.0,49.0,892.0,54.0,63.0,212.0,3776.0,203.0,7.0,29.0,41.0,315.0,37.0,11.0,13.0,109.0,16.0,12.0,192.0
2020-03-24,46.0,1.0,10.0,56.0,985.0,64.0,80.0,231.0,4178.0,231.0,8.0,38.0,56.0,374.0,44.0,15.0,20.0,129.0,19.0,19.0,216.0
2020-03-25,52.0,1.0,11.0,74.0,1077.0,70.0,95.0,254.0,4474.0,287.0,8.0,43.0,74.0,449.0,48.0,18.0,25.0,142.0,19.0,24.0,258.0
2020-03-26,63.0,1.0,14.0,83.0,1174.0,72.0,106.0,280.0,4861.0,310.0,8.0,48.0,86.0,449.0,65.0,19.0,33.0,158.0,20.0,28.0,287.0
2020-03-27,68.0,3.0,18.0,98.0,1267.0,76.0,118.0,331.0,5402.0,336.0,9.0,60.0,102.0,569.0,69.0,21.0,39.0,177.0,21.0,37.0,313.0
2020-03-28,76.0,3.0,21.0,109.0,1344.0,87.0,124.0,358.0,5944.0,364.0,9.0,64.0,120.0,617.0,71.0,26.0,57.0,198.0,28.0,41.0,362.0
2020-03-29,88.0,4.0,25.0,117.0,1443.0,98.0,136.0,377.0,6360.0,386.0,9.0,64.0,129.0,684.0,86.0,27.0,65.0,215.0,31.0,43.0,392.0
2020-03-30,102.0,5.0,31.0,125.0,1538.0,107.0,150.0,397.0,6818.0,417.0,9.0,74.0,147.0,749.0,91.0,28.0,76.0,231.0,33.0,50.0,413.0
2020-03-31,115.0,7.0,36.0,133.0,1644.0,113.0,162.0,428.0,7199.0,452.0,9.0,76.0,164.0,854.0,110.0,31.0,81.0,244.0,37.0,56.0,477.0
